uuid,x,y
uuid:f8dbe9c5-ce6a-4d56-b786-0a01cdedb9f7,-8.743738,4.723026
uuid:7f60a662-f207-4826-bbe4-8c36ab56b085,-8.994902,5.3326135
uuid:a5a8e082-f332-40ce-a198-1997c94b8703,7.922284,0.49431092
uuid:50a1f0b8-6037-4327-88ec-871b656b3c19,0.18627039,8.312325
uuid:ea79a846-3233-49d9-aa7d-e856d8a005d5,1.6908062,-5.2086487
uuid:3cde729a-b19c-4123-989d-ff6611d3eb50,-7.1400175,4.84146
uuid:d8cdedea-9190-4db8-91f1-e2d06ea120d7,-6.9773216,6.3135114
uuid:924894c2-5c40-4791-9015-ae7628eeafc0,0.4542433,2.9689517
uuid:badf238b-1134-4ad2-9e6a-c4c46916da82,7.7615786,1.4751474
uuid:625e82cf-973f-4c7e-9893-b226604063f4,8.532667,0.7682595
uuid:0a4bce54-329b-4152-a440-386baa2f847f,-7.621418,5.401846
uuid:d1cc8d77-12ce-448e-851d-f92346287509,-7.0996737,4.2940707
uuid:3b4aa8a6-9abd-4ab9-ac2b-c91d48bcba3e,-7.1426716,6.329346
uuid:8b32be21-7dd7-4a3f-9f98-b5f1a23f2f2f,-6.844556,4.6106114
uuid:41ae9273-0819-4bc5-80f3-c44f73a56d9e,-8.865145,5.243653
uuid:b361450f-e6ac-485a-875b-2257f4be6e59,8.504033,1.3546189
uuid:34ccfe1c-2fa6-424f-a6bd-6321b878cb1e,-8.524532,4.869252
uuid:8c220e44-3741-4527-a794-2569554d7e8f,5.6287317,-2.3572433
uuid:cbb33fe1-d934-4a0f-881b-c1422eccb486,-5.943902,6.387194
uuid:59bd8d8f-47f4-48d2-bf74-85594446a162,5.360921,0.05322368
uuid:f34fdf3f-0ea4-4897-af4d-41579d16960b,-8.279985,4.519966
uuid:2722f77f-4b7c-438a-b91a-a9b1c1434714,7.627653,0.71984655
uuid:0d835b1d-142b-4625-af61-9bdb9941435d,6.2123356,-0.2247812
uuid:bc6fd4bc-60c5-4e6d-8499-2170991de4ae,-4.723663,4.8543625
uuid:7e89de09-c561-444b-a0b1-0f6c692dd5f9,7.017519,0.93786436
uuid:935424ad-905a-4067-9de3-24d7dec92353,7.2063246,2.3756516
uuid:32a766f7-8daf-4fe0-a79d-0a5f1177fd45,-7.943241,4.3503213
uuid:3a70e7cf-c63d-46d1-a3bc-18f6cbc44eaa,-8.750143,5.1080885
uuid:2d6ba3d5-0b73-4482-8bb8-e6a9b4381903,8.606281,0.7076804
uuid:9eab966c-7c36-4919-a4b7-f8c9ed9aa0c5,-7.034771,5.973966
uuid:921176e3-3a67-48a6-8b3d-9d70a47eeb8c,7.8729815,0.8066563
uuid:43d99c92-ca98-4467-a87e-2a1b7c858a43,-6.7684584,3.8160906
uuid:b46e9a18-178a-4ed1-b14f-3c5a4ae0ec74,8.4811,0.9513317
uuid:f142a761-eab8-4c32-a246-8bffacbc5697,8.315458,1.0565177
uuid:d863cde2-cf49-4322-8857-bb843c18b36a,8.012543,1.1912286
uuid:8f52a6da-7b62-43d4-802c-002fd679cf0d,-7.557413,4.826933
uuid:00b1ab94-6e50-4906-bb58-e89bf9f1d9c4,-7.0664544,4.9421563
uuid:e0e3227d-ffeb-4293-b1e7-f9395627798a,-4.562231,5.5169873
uuid:605738f6-b580-4a1e-aa0b-49e3e2392111,-7.6025963,4.3372664
uuid:4994c5f9-245c-4468-b59c-c493e810b30a,-8.609478,5.139241
uuid:a0dbd9a9-f02a-48f1-8d89-de326cb08422,-8.609448,5.139212
uuid:dcd546c3-54a2-48fa-a69a-60ad12ea2bf0,-7.2397375,6.2079825
uuid:ec7e0408-7bc9-4dd3-8499-7261f18f352e,-7.718096,4.2123523
uuid:a3b098be-b8d4-49e9-aa6e-638319bd9677,-8.76296,4.928934
uuid:48f9bcf2-db95-46dc-9267-57dd0b39e95a,4.6254487,2.8445868
uuid:605738f6-b580-4a1e-aa0b-49e3e2392111,-7.60477,4.3384314
uuid:4994c5f9-245c-4468-b59c-c493e810b30a,-8.611473,5.141172
uuid:a0dbd9a9-f02a-48f1-8d89-de326cb08422,-8.611443,5.141142
uuid:dcd546c3-54a2-48fa-a69a-60ad12ea2bf0,-7.240634,6.209255
uuid:ec7e0408-7bc9-4dd3-8499-7261f18f352e,-7.719006,4.2140102
uuid:a3b098be-b8d4-49e9-aa6e-638319bd9677,-8.765075,4.93036
uuid:48f9bcf2-db95-46dc-9267-57dd0b39e95a,4.6198096,2.8559284
uuid:ae1e3ee7-5012-472a-8acf-0c9259b7f328,-4.328419,5.83104
uuid:1aff108c-112a-4f86-85d5-9729cd8daa6e,5.3876085,-0.2858603
uuid:cecadd99-acb5-46e7-84b8-d15ef4c721ca,6.1064334,2.6681442
uuid:649ca86e-defa-455d-8f16-a82bc2a0effe,-1.8470747,7.1759343
uuid:ed0c92c2-6d06-4cba-85db-b33beb945e45,8.228317,1.9059743
uuid:4938307a-b196-42b2-89fa-b415120d4468,7.536953,1.3803428
uuid:a0e5afb4-da3c-40b8-9693-9481610fa72e,3.3122969,-4.684282
uuid:07fbf441-ee04-41a4-9ca3-1cc516953b47,3.4944875,-1.8634758
uuid:efd9ee12-0143-4995-b9a1-d16df40e1378,-8.310352,5.051478
uuid:a1e66474-9163-4f7d-b419-adb37f59f7b9,6.8833036,2.4042141
uuid:203c4bc4-255c-42e2-9346-44f3169d648a,8.41033,0.93911415
uuid:967709d2-9151-498d-81d8-d5663217a5cb,-8.140078,4.6637225
uuid:18c681d6-3b41-47a1-9149-38af05737d26,-7.246282,4.6442513
uuid:1271cd07-d4a1-4970-841e-b35557c2aef1,7.019591,-0.29270154
uuid:0a18f9e9-2d3a-4504-bfe3-549025fa8272,6.67288,0.2450685
uuid:ae1f3aba-ce14-4de3-9e9c-8b75072c7f48,7.5830674,-0.8294044
uuid:950e0c74-4d3a-4ba0-b308-b08278200d57,7.6557636,1.1615099
uuid:ad91dad8-b958-481b-82d8-c7395d1a3874,7.083499,-0.9162968
uuid:37f9fac9-a4d4-4817-afdd-55dfa1eac1f0,1.9654938,-5.072445
uuid:d478e194-30cd-4f37-936a-2c09e1103194,0.9414505,6.7905583
uuid:719f34dd-4a88-4a22-8b86-732907dea8e4,-7.00837,6.343823
uuid:27125211-1183-487f-97a3-b31ba862fa4a,1.1150267,-4.846913
uuid:79b38f8a-54f6-4be3-88f8-56affd6bfd9d,7.481942,2.4225829
uuid:4d5578b6-14f4-4819-9832-069318850d14,-8.721159,5.214749
uuid:a5f7285f-b31c-4970-a92d-57fb2ec33703,4.944056,-2.3304334
uuid:63966443-add1-4881-b941-a5e0db30190a,7.3447304,0.8184616
uuid:9ec9f7c1-bdb0-4de1-b4c6-3ebde5d8f41b,-8.414487,4.8668895
uuid:c315541a-35d3-4449-9b24-715dd91d88aa,-7.0948353,6.1238008
uuid:f3d915a1-55f9-4633-bc4e-8151c03ff292,-8.206921,4.9591894
uuid:d876b1a5-55cf-4dd2-af3b-c5f4cb0d6400,-7.288657,6.3352466
uuid:9dbdc27c-e682-4d71-a66a-d7ae9a22863e,0.4257404,2.552575
uuid:90a6e586-0487-4aad-ab1f-d90837468f73,2.4694865,7.865537
uuid:520ccc33-3da6-4bbd-8669-9eacd8fe4951,2.151867,-5.229561
uuid:b1ed23ff-6416-4cc3-8771-f57408711878,4.83854,-2.219118
uuid:91e1d70a-e760-41bf-98c1-bc093f0ef5b4,2.4401705,-4.2150283
uuid:cebf5535-b690-4a73-9ef4-b21e6afa3d5d,2.172755,-4.96837
uuid:7768b586-19ba-45e6-8687-a042eac612ea,-6.5922203,6.38395
uuid:60e87e0d-e7b4-446a-b08e-88c1f19f9fa4,3.4913108,4.089588
uuid:0913c7d0-877c-4bf0-823e-de4999401ff6,-7.3329086,5.2569404
uuid:ab5ecc1a-b25c-4dbd-9e5f-c7c5216a4860,0.6689148,-5.315695
uuid:f8490a40-d7a4-4098-907c-6fe5c87ef75e,5.320835,-0.5725853
uuid:f599bcda-f1d7-4647-94b9-e52ad967ba47,-7.5935445,4.518893
uuid:2981f4b1-76f9-4b01-bd70-2d85b988720a,-7.2020674,6.401946
uuid:9c302fab-70f8-4aed-8112-3464b0e61203,7.8573256,0.9964877
uuid:1c04a740-0173-48e5-9479-1f95590bae44,-5.2219625,5.556753
uuid:56d6ec4e-b858-4982-86ab-da3ed6d140ae,7.3030605,1.2120162
uuid:15748e17-7bd0-45fe-8bfe-8a65a417787a,4.3248663,-2.021712
uuid:aa29fb37-eb4d-42f1-8731-a19e83fe1aee,-7.050799,5.715862
uuid:df7e2f74-438a-4ee6-bbf1-fdbd7412c156,-0.8981383,4.16649
uuid:a5b11f64-4e68-414d-92bf-ce877e2aa17e,-8.929165,5.207889
uuid:56fc873f-d6a8-4f69-980a-73ffadff24b2,8.323063,1.162021
uuid:6d91fda0-0d0f-462c-821d-35aa2710ffc3,5.0372057,-2.1583986
uuid:9a06440e-00cf-4aa3-b442-6084b0cc5b74,-6.978004,5.538608
uuid:8b98eff7-4689-4a37-a332-77cd4c15f871,-6.6869173,6.3628626
uuid:beb45426-5eed-4cab-bf57-91b06424b0f3,-0.55431145,-5.3008647
uuid:b31f0760-5953-4790-b542-ba88f643a5ea,0.8267013,-5.0730186
uuid:7e7fd374-1d21-4b3c-9e92-f414f5fe34b5,8.494241,0.92691106
uuid:d16b9279-947a-4c99-ab1f-a453989a60b7,7.885912,0.88873345
uuid:e4ece20f-7871-4230-ae62-c568b3b3ac2c,-7.2115326,5.7277107
uuid:e1531aad-8d02-4201-94e9-3dd70171a45e,-8.557207,4.59862
uuid:ac352c84-b029-42d0-a345-67b4e7878096,-8.345797,4.674149
uuid:9b0053ac-f8c4-4183-9f48-dac85d5d48b5,8.212344,1.4890873
uuid:0c0adda2-d21f-4741-90ec-3f696009d824,-8.494963,5.0073857
uuid:a40b76f8-12a4-4c6d-803c-e8ec3936deb0,-7.768158,5.6443195
uuid:0d3a1ff8-2dd2-4dca-ba3d-626a6a803a10,8.409204,0.8309886
uuid:b9692e93-6e94-4182-a7c1-c0776cc56150,-7.662552,4.37969
uuid:d8df1796-54fa-4233-a3de-8c21f9117a75,-5.295721,6.055294
uuid:408bf886-ebed-4b4a-9d08-f0a957dc9408,4.424739,-2.0838583
uuid:f34c8647-68b0-4600-b6c7-071b1c054b8a,7.169635,-0.27542967
uuid:27e71900-bb70-4319-b2ad-047eb508fd4b,-0.5562502,8.827038
uuid:020cc4e4-7fd7-4633-95bd-824c16e28b14,7.449684,-1.8214452
uuid:02c0c440-5d8e-4959-a576-7c1801685715,-7.3323445,4.223177
uuid:6ba53b92-37a1-4e5c-ac28-75ee55cf48c9,5.133539,-0.23355453
uuid:7e7fd374-1d21-4b3c-9e92-f414f5fe34b5,8.495504,0.92744964
uuid:d16b9279-947a-4c99-ab1f-a453989a60b7,7.8847356,0.8874666
uuid:e4ece20f-7871-4230-ae62-c568b3b3ac2c,-7.2133875,5.7284484
uuid:e1531aad-8d02-4201-94e9-3dd70171a45e,-8.559101,4.600002
uuid:ac352c84-b029-42d0-a345-67b4e7878096,-8.348819,4.6752987
uuid:9b0053ac-f8c4-4183-9f48-dac85d5d48b5,8.2123575,1.4890062
uuid:0c0adda2-d21f-4741-90ec-3f696009d824,-8.496422,5.007208
uuid:a40b76f8-12a4-4c6d-803c-e8ec3936deb0,-7.769736,5.643228
uuid:0d3a1ff8-2dd2-4dca-ba3d-626a6a803a10,8.40903,0.8317382
uuid:b9692e93-6e94-4182-a7c1-c0776cc56150,-7.6648483,4.381051
uuid:d8df1796-54fa-4233-a3de-8c21f9117a75,-5.2971373,6.0552936
uuid:408bf886-ebed-4b4a-9d08-f0a957dc9408,4.4235806,-2.0833256
uuid:f34c8647-68b0-4600-b6c7-071b1c054b8a,7.1697226,-0.27527052
uuid:27e71900-bb70-4319-b2ad-047eb508fd4b,-0.5570537,8.828313
uuid:020cc4e4-7fd7-4633-95bd-824c16e28b14,7.4544115,-1.814511
uuid:02c0c440-5d8e-4959-a576-7c1801685715,-7.3339477,4.224439
uuid:6ba53b92-37a1-4e5c-ac28-75ee55cf48c9,5.1338067,-0.2323594
uuid:1a0da941-5335-47aa-998a-9bb5a4189289,-8.222254,4.810718
uuid:a19a82de-6ede-4e88-95f2-3a7a9e27ea8c,-6.9964514,4.580514
uuid:c622d3e3-1fe0-4fa6-a24e-989d6fac1d85,8.270881,-0.19332902
